SALARY;G_PH;G_PR;BBr;HITR;B1R;HRr;SFR;ROEr;RBIR;D_BPF;D_MLVr
400000;1;5;0,0845;0,25352;0,19718;0,0141;0;0;0,12676;98,0324;0,044
402500;5;0;0,0598;0,24303;0,18526;0,006;0,00996;0,004;0,08566;100,868;-0,139
425000;1;0;0,0949;0,24088;0,12993;0,038;0,00876;0,0088;0,13723;98,8549;0,167
2500000;3;0;0,0723;0,25151;0,14759;0,0346;0,00753;0,0121;0,13404;100,22;0,082
1056000;9;0;0,1179;0,19821;0,12143;0,025;0,00714;0,0161;0,08214;99,1432;-0,026
412100;3;0;0,1516;0,22656;0,15156;0,0141;0,01094;0,0047;0,10469;99,1514;0,078
403000;27;0;0,0781;0,24024;0,13514;0,036;0,01802;0,009;0,14414;103,882;0,03
500000;7;0;0,1385;0,23846;0,18;0,02;0,00308;0,0062;0,10615;98,2788;0,085
966666;13;0;0,0995;0,26702;0,15183;0,0401;0,00524;0,0105;0,15183;98,8744;0,252
1440000;1;1;0,0562;0,26806;0,20064;0,0161;0,00803;0,0096;0,11075;99,4806;0,014
455000;2;0;0,0634;0,26244;0,13725;0,0558;0,00603;0,0106;0,15988;99,4098;0,215
400000;10;0;0,0463;0,23765;0,15432;0,0247;0,01235;0,0062;0,1821;100,637;-0,092
402500;5;1;0,1005;0,25213;0,1908;0,017;0,00341;0,0153;0,10221;99,1359;0,059
1100000;33;0;0,059;0,2191;0,13764;0,0393;0,01966;0,0084;0,14888;99,3104;-0,09
4925000;18;0;0,0826;0,20312;0,1183;0,0335;0,0067;0,0067;0,12277;99,1929;-0,119
5000000;23;2;0,0745;0,2236;0,14596;0,028;0,01242;0,0217;0,09006;99,8925;-0,1
15500000;4;2;0,1315;0,1896;0,12538;0,0367;0,01223;0,0153;0,11009;98,2116;-0,085
5000000;22;0;0,0777;0,21762;0,17098;0;0;0,0104;0,07772;100,169;-0,199
3500000;0;0;0,0841;0,17757;0,13084;0,0187;0,01869;0,0187;0,08411;93,7841;-0,271
13250000;1;0;0,1017;0,25931;0,16762;0,0287;0,00573;0,0057;0,12894;101,478;0,12
1800000;5;0;0,0996;0,25974;0,16883;0,0217;0,00433;0,0152;0,11472;101,231;0,159
8000000;5;0;0,0928;0,2464;0,1536;0,0176;0,0048;0,0096;0,0944;99,7475;0,067
410000;5;0;0,1856;0,18562;0,09866;0,0552;0,00669;0,005;0,12876;98,4313;0,133
5000000;21;9;0,0604;0,22527;0,17308;0,0192;0;0,0082;0,11264;101,293;-0,192
4500000;6;0;0,0623;0,22663;0,14164;0,0198;0,00283;0,0198;0,11331;102,032;-0,13
6250000;11;0;0,0334;0,27241;0,18629;0,0281;0,01933;0,0123;0,16696;100,129;0,044
7500000;37;0;0,1244;0,25117;0,15493;0,0141;0,00235;0,0094;0,10563;100,25;0,119
14811414;2;0;0,036;0,26877;0,18769;0,0195;0,0045;0,0045;0,0991;99,3423;-0,014
3687500;0;0;0,0622;0,27468;0,1824;0,0429;0,01502;0,0193;0,16738;99,9408;0,16
1750000;1;1;0,0441;0,24265;0,20588;0,0147;0;0,0147;0,05147;101,78;-0,182
8000000;2;0;0,0802;0,27534;0,15129;0,0484;0,01059;0,0061;0,16339;101,423;0,256
1000000;14;10;0,1302;0,23958;0,23438;0;0;0,026;0,04688;97,2088;-0,071
6250000;1;0;0,1063;0,2126;0,11024;0,0492;0,00591;0,0059;0,1378;99,2711;0,068
6174974;1;0;0,0777;0,25847;0,18785;0,017;0,00847;0,0113;0,11582;101,115;-0,002
1400000;14;0;0,0632;0,26724;0,18103;0,0086;0,01437;0,0144;0,11494;98,9023;0,04
3820000;12;0;0,0894;0,18436;0,08939;0,0447;0;0,0112;0,16201;99,9251;-0,161
5000000;7;0;0,1556;0,23333;0,17778;0,0222;0,00556;0,0056;0,05556;100,261;0,093
750000;53;1;0,1317;0,23653;0,16766;0,006;0,00898;0,012;0,08982;99,4518;0,034
13000000;0;0;0,1426;0,22403;0,11405;0,0468;0,00611;0,0041;0,18126;102,216;0,165
525000;25;3;0,0583;0,20179;0,15247;0,0135;0,00448;0,0045;0,08969;99,1247;-0,286
23428571;7;0;0,1345;0,2;0,10796;0,0566;0,01593;0,0053;0,16991;101,082;0,158
5500000;4;0;0,2245;0,16327;0,07483;0,034;0,0068;0,0204;0,13605;99,7014;0,13
13100000;5;0;0,1231;0,23077;0,14359;0,0154;0,00513;0;0,11282;101,091;0,041
750000;57;5;0,0884;0,22652;0,17127;0,0055;0,00552;0,0166;0,08287;103,122;-0,157
409500;3;2;0,1042;0,16667;0,14583;0;0;0;0,04167;102,673;-0,395
444000;1;0;0,0411;0,24962;0,14155;0,0304;0,0137;0,0213;0,13851;99,2802;0,013
11300000;1;0;0,0819;0,26316;0,15351;0,0541;0,01316;0,0073;0,18567;101,395;0,207
650000;15;0;0,0593;0,23077;0,14505;0,0132;0,0022;0,0198;0,08132;100,372;-0,141
450000;2;1;0,1048;0,21821;0,12199;0,0447;0,00859;0,012;0,11684;100,767;0,064
400000;3;0;0,0805;0,16779;0,12081;0,0134;0;0;0,09396;101,402;-0,384
1400000;34;0;0,0564;0,29412;0,24265;0,0098;0,00245;0,0123;0,07598;98,7743;0,063
415000;4;0;0,0373;0,256;0,18667;0,008;0,00267;0,008;0,104;100,655;-0,07
