Település;Lakosság
Csehimindszent;366
Csipkerek;341
Egervölgy;348
Gersekarát;677
Győrvár;633
Hegyhátszentpéter;153
Kám;472
Mikosszéplak;320
Nagytilaj;151
Olaszfa;379
Oszkó;628
Pácsony;292
Petőmihályfa;212
Püspökmolnári;883
Rábahídvég;958
Sárfimizdó;102
Szemenye;342
Telekes;514
Vasvár;4102
Alsópáhok;1494
Balatongyörök;1386
Bókaháza;300
Cserszegtomaj;3419
Dióskál;488
Egeraracsa;310
Esztergályhorváti;435
Felsőpáhok;727
Gétye;112
Gyenesdiás;4073
Hévíz;4699
Karmacs;760
Keszthely;19116
Ligetfalva;57
Nemesbük;800
Rezi;1421
Sármellék;1865
Szentgyörgyvár;339
Vállus;125
Várvölgy;1048
Vindornyafok;137
Vindornyalak;83
Vindornyaszőlős;339
Vonyarcvashegy;2606
Zalaapáti;1689
Zalacsány;1036
Zalaköveskút;30
Zalaszántó;959
Zalaszentmárton;73
Zalavár;938
Alsószenterzsébet;54
Baglad;42
Barlahida;132
Belsősárd;94
Bödeháza;50
Csesztreg;844
Csömödér;611
Dobri;166
Felsőszenterzsébet;17
Gáborjánháza;73
Gosztola;70
Hernyék;82
Iklódbördőce;311
Kálócfa;155
Kányavár;134
Kerkabarabás;303
Kerkafalva;116
Kerkakutas;118
Kerkateskánd;172
Kissziget;187
Kozmadombja;39
Külsősárd;70
Lendvadedes;34
Lendvajakabfa;49
Lenti;7843
Lovászi;1158
Magyarföld;54
Márokföld;63
Mikekarácsonyfa;340
Nemesnép;134
Nova;774
Ortaháza;109
Páka;1120
Pórszombat;276
Pördefölde;59
Pusztaapáti;27
Ramocsa;41
Rédics;915
Resznek;271
Szécsisziget;211
Szentgyörgyvölgy;391
Szijártóháza;29
Szilvágy;192
Tormafölde;349
Tornyiszentmiklós;522
Zalabaksa;628
Zalaszombatfa;49
Zebecke;69
Bánokszentgyörgy;606
Bázakerettye;759
Becsehely;2024
Borsfa;707
Bucsuta;215
Csörnyeföld;421
Kerkaszentkirály;234
Kiscsehi;183
Kistolmács;172
Lasztonya;66
Letenye;4010
Lispeszentadorján;300
Maróc;76
Molnári;689
Murarátka;240
Muraszemenye;506
Oltárc;262
Petrivente;351
Pusztamagyaród;546
Semjénháza;566
Szentliszló;290
Szentmargitfalva;77
Tótszentmárton;813
Tótszerdahely;1081
Valkonya;69
Várfölde;218
Zajk;247
Alsórajk;324
Balatonmagyaród;484
Belezna;697
Bocska;303
Börzönce;47
Csapi;164
Eszteregnye;673
Felsőrajk;737
Fityeház;627
Fűzvölgy;141
Galambok;1348
Garabonc;701
Gelse;1052
Gelsesziget;262
Hahót;1025
Homokkomárom;219
Hosszúvölgy;185
Kacorlak;202
Kerecseny;265
Kilimán;222
Kisrécse;189
Liszó;379
Magyarszentmiklós;263
Magyarszerdahely;508
Miháld;776
Murakeresztúr;1712
Nagybakónak;408
Nagykanizsa;46279
Nagyrada;501
Nagyrécse;1101
Nemespátró;276
Orosztony;436
Pat;201
Pölöskefő;393
Pötréte;292
Rigyác;405
Sand;380
Sormás;875
Surd;591
Szepetnek;1540
Újudvar;962
Zalakaros;2655
Zalakomár;2921
Zalamerenye;187
Zalasárszeg;135
Zalaszabar;583
Zalaszentbalázs;815
Zalaszentjakab;324
Zalaújlak;107
Alibánfa;434
Almásháza;91
Alsónemesapáti;682
Babosdöbréte;517
Bagod;1248
Bak;1603
Baktüttös;361
Becsvölgye;774
Bezeréd;154
Bocfölde;1181
Boncodfölde;347
Böde;283
Búcsúszentlászló;760
Csatár;531
Csertalakos;46
Csonkahegyhát;336
Csöde;89
Dobronhegy;140
Egervár;1021
Gellénháza;1537
Gombosszeg;52
Gősfa;306
Gutorfölde;965
Gyűrűs;98
Hagyárosbörönd;299
Hottó;348
Iborfia;11
Kávás;243
Kemendollár;495
Keménfa;86
Kisbucsa;431
Kiskutas;201
Kispáli;276
Kustánszeg;467
Lakhegy;458
Lickóvadamos;184
Milejszeg;319
Misefa;281
Nagykapornak;908
Nagykutas;460
Nagylengyel;491
Nagypáli;545
Nemesapáti;517
Nemeshetés;278
Nemesrádó;334
Nemessándorháza;327
Nemesszentandrás;266
Németfalu;199
Orbányosfa;116
Ormándlak;101
Ozmánbük;187
Pacsa;1666
Padár;117
Pálfiszeg;169
Pethőhenye;431
Petrikeresztúr;366
Pókaszepetk;940
Pölöske;846
Pusztaederics;170
Pusztaszentlászló;552
Salomvár;597
Sárhida;782
Söjtör;1525
Szentkozmadombja;61
Szentpéterfölde;139
Szentpéterúr;1037
Teskánd;1166
Tilaj;179
Tófej;682
Vasboldogasszony;544
Vaspör;336
Vöckönd;88
Zalaboldogfa;361
Zalacséb;495
Zalaegerszeg;56959
Zalaháshágy;371
Zalaigrice;117
Zalaistvánd;363
Zalalövő;2861
Zalaszentgyörgy;416
Zalaszentiván;1028
Zalaszentlőrinc;278
Zalaszentmihály;998
Zalatárnok;615
Batyk;403
Döbröce;85
Dötk;47
Kallósd;99
Kehidakustány;1093
Kisgörbő;196
Kisvásárhely;49
Mihályfa;351
Nagygörbő;159
Óhíd;533
Pakod;851
Sénye;65
Sümegcsehi;622
Szalapa;188
Tekenye;467
Türje;1614
Zalabér;753
Zalaszentgrót;6391
Zalaszentlászló;789
Zalavég;340
Babarc;751
Belvárdgyula;408
Bóly;3739
Borjád;431
Hásságy;306
Kisbudmér;112
Liptód;217
Máriakéménd;507
Monyoród;180
Nagybudmér;156
Olasz;630
Pócsa;176
Szajk;814
Szederkény;1734
Töttös;555
Versend;969
Ág;187
Alsómocsolád;324
Bakóca;300
Baranyajenő;482
Baranyaszentgyörgy;132
Felsőegerszeg;122
Gerényes;253
